ID,Target
6366,879.75
6367,698.5
6368,701.25
6369,653.75
6370,638
6371,618.25
6372,671.25
6373,857
6374,1243
6375,1419
6376,1287.75
6377,1083.25
6378,1212
6379,1277.75
6380,1514
6381,1375
6382,1445.5
6383,1473.5
6384,1532
6385,1047.25
6386,981
6387,864.75
6388,859.25
6389,877.25
6390,903.25
6391,787.25
6392,796.25
6393,699.25
6394,646
6395,609.75
6396,711
6397,866.5
6398,1340.5
6399,1500.5
6400,1274.5
6401,1190.5
6402,1142.5
6403,1205.25
6404,1208
6405,1268.75
6406,1291.25
6407,1423.25
6408,1720.75
6409,1851
6410,1698.75
6411,1569.5
6412,1351
6413,1322.5
6414,1087.25
6415,950.25
6416,956.5
6417,747
6418,700
6419,622.75
6420,708.5
6421,856.75
6422,1327.5
6423,1527.75
6424,1377
6425,1083.6666666667
6426,1144
6427,1169.25
6428,1241.75
6429,1163
6430,1399.25
6431,1611.75
6432,1403.75
6433,1392.25
6434,1567.75
6435,1320
6436,1073.75
6437,1116.5
6438,1108.25
6439,1076.75
6440,1012.75
6441,905.5
6442,829
6443,847.5
6444,875.5
6445,822.25
6446,1107.5
6447,962.5
6448,994.25
6449,835
6450,1001.5
6451,1045.75
6452,915.75
6453,960.75
6454,860.25
6455,911.5
6456,1011.5
6457,852
6458,1000.25
6459,956
6460,850.75
6461,794
6462,825.5
6463,833.75
6464,678.75
6465,650.75
6466,639
6467,583.75
6468,543.25
6469,537.5
6470,577.75
6471,610
6472,660.5
6473,732.5
6474,795
6475,841.75
6476,788
6477,886.75
6478,692
6479,639.75
6480,934.75
6481,745.5
6482,734.25
6483,733.25
6484,640.5
6485,671.5
6486,605.25
6487,662.25
6488,661
6489,649.25
6490,562
6491,602.25
6492,701
6493,817.25
6494,1173
6495,1465.25
6496,1254.25
6497,1090
6498,1048.75
6499,1292.5
6500,1190.75
6501,1111.5
6502,1166.75
6503,1169.75
6504,1239.25
6505,1237.5
6506,1126.25
6507,1076.5
6508,870.5
6509,803.5
6510,769.75
6511,786
6512,679.75
6513,719
6514,626.75
6515,603.75
6516,641
6517,729.5
6518,1069.75
6519,1202.5
6520,1219
6521,1292
6522,1339.25
6523,1239
6524,1178.75
6525,1108.25
6526,1121.25
6527,1112
6528,1126.25
6529,1095
6530,1035.5
6531,1025.5
6532,1013
6533,886.75
6534,855
6535,856.25
6536,731
6537,815
6538,895.5
6539,655.25
6540,663.75
6541,712.5
6542,666.25
6543,712
6544,884.25
6545,969.25
6546,958
6547,1022.25
6548,854.5
6549,741.5
6550,790
6551,833.66666666667
6552,987
6553,935
6554,1117.5
6555,946.75
6556,909
6557,865.5
6558,789.25
6559,648.5
6560,583.25
6561,518
6562,466.25
6563,462.5
6564,482.25
6565,530
6566,882
6567,873.75
6568,750
6569,785.5
6570,784.5
6571,812
6572,863
6573,779.75
6574,865
6575,798.5
6576,959.75
6577,1057
6578,987.25
6579,737.75
6580,582.5
6581,572.25
6582,574.25
6583,636
6584,632.5
6585,599.75
6586,470.25
6587,437
6588,478
6589,532.75
